deviceToken,eventHash
002974c9-7db4-4325-9b8e-66fe96d216cb,b861901a-e9ce-49f5-b558-5c282bf33a4d
003561e6-c7b8-46d2-93bb-249acfcd1a5f,ac3024b4-0092-4a9e-a57e-d33bfd08935c
003885f5-7aa0-4467-afe1-9d21d7f6ff5f,c77a7582-7708-430d-a092-fd1973ad0c29
007783d9-b87b-4f6f-bf81-e60691492bb0,63c895d5-64d0-4a3c-82f3-c652d6ea0723
00b896ab-6a4f-43fc-a44f-9ad30aa11aab,b861901a-e9ce-49f5-b558-5c282bf33a4d
00c7ecf6-a8e5-4d86-a113-d6a59ef1cf06,b861901a-e9ce-49f5-b558-5c282bf33a4d
01b1a37d-ab5e-4e8b-97b9-f753b03cb7a7,b861901a-e9ce-49f5-b558-5c282bf33a4d
0289706f-4815-4ba5-a5ec-81d6af649a53,da96ff5a-16d0-4ac6-9ba7-d787b6cb5b41
02a510bb-9f3f-4ddd-b66f-8e7089e4a427,53080432-fde8-4360-bdb3-2e01f469c85b
02a92574-0fe1-4c34-8f07-27fc17c039a1,b861901a-e9ce-49f5-b558-5c282bf33a4d
